avg_monthly_income,income_std_dev,income_trend,income_sources_count,salary_days_variance,avg_monthly_spend,spend_to_income_ratio,discretionary_spend_ratio,balance_low_days,cash_withdrawal_ratio,utility_payment_ratio,avg_payment_delay,missed_payments,payment_consistency_score,mobile_recharge_gap,informal_loans_count,informal_repayment_ratio,bnpl_usage_freq,bnpl_on_time_ratio,short_term_borrow_freq,repayment_borrow_ratio,avg_monthly_sales,sales_growth_rate,order_cancellation_rate,repeat_customer_ratio,business_age_months,age,residence_years,employment_years,salary_account_flag,upi_transaction_count,digital_txn_ratio,unique_merchants_per_month,avg_txn_size,account_tenure_months,num_bank_accounts,savings_ratio,emi_burden_ratio,bounce_count,self_transfer_ratio,night_txn_ratio,credit_enquiry_count,insurance_payment_ratio,loan_to_income_proxy,rd_sip_flag,overdraft_usage_flag,tax_filing_flag,gst_registered_flag
62502.15,5926.42,,2.0,0.86,40763.9,0.6522,0.353,7.0,0.2507,,13.19,5.0,47.42,6.12,1.0,0.8655,,0.9032,1.0,0.8775,-1.0,-999.0,-1.0,-1.0,-1.0,37.0,13.4,7.2,1.0,9.0,0.7179,45.0,225.21,110.3,2.0,0.3308,0.1294,4.0,0.0873,0.0509,1.0,0.8765,,0.0,0.0,1.0,0.0
55128.31,14725.45,1.0,,4.08,55470.11,1.0062,0.2746,14.0,0.4498,0.6291,42.92,7.0,3.43,39.95,4.0,0.4429,5.0,0.5383,3.0,0.4535,135080.72,0.0,0.1848,0.4649,30.6,18.0,,1.8,0.0,13.0,0.4898,,474.1,33.9,2.0,-0.0299,0.1606,6.0,,0.1272,6.0,0.5718,5.7816,0.0,1.0,,1.0
79927.39,7467.78,0.0,2.0,0.53,67802.4,0.8483,0.3589,11.0,0.2687,0.7135,31.48,,,8.27,2.0,0.5956,0.0,0.7788,2.0,0.6148,-1.0,-999.0,-1.0,-1.0,-1.0,29.0,6.0,5.4,1.0,15.0,0.6239,31.0,542.42,61.0,1.0,0.1387,0.1324,4.0,0.0936,0.0636,4.0,0.7284,4.7664,1.0,1.0,,0.0
33073.24,6082.56,0.0,2.0,1.43,35874.54,1.0847,,21.0,0.4086,0.5069,15.06,10.0,,46.43,6.0,0.3344,0.0,0.464,5.0,0.4207,-1.0,-999.0,-1.0,-1.0,-1.0,20.0,1.4,0.5,1.0,8.0,,,732.13,8.4,,-0.0779,0.3344,8.0,0.0828,0.1103,9.0,0.3572,10.0,0.0,,1.0,0.0
30382.4,2596.44,1.0,2.0,1.86,,1.0133,0.1785,17.0,0.4072,0.5177,13.34,2.0,53.41,,5.0,0.4509,0.0,0.4637,4.0,,-1.0,-999.0,-1.0,-1.0,-1.0,38.0,6.1,1.9,1.0,5.0,0.3212,23.0,331.04,25.1,2.0,-0.0062,0.2347,2.0,0.0598,0.0783,7.0,0.5651,8.4492,0.0,0.0,1.0,0.0
30633.37,7222.22,0.0,1.0,5.03,28724.91,0.9377,0.1244,16.0,0.4716,0.542,55.48,4.0,25.14,,4.0,0.4808,3.0,0.5361,3.0,0.5333,-1.0,-999.0,,-1.0,-1.0,37.0,6.2,2.4,0.0,2.0,0.4666,18.0,393.49,47.8,1.0,0.0629,0.1911,4.0,0.0848,0.0732,7.0,0.5438,6.8796,1.0,0.0,1.0,0.0
,10304.83,-1.0,3.0,17.19,29114.48,1.0169,0.1847,17.0,0.4945,0.4832,,2.0,57.91,10.0,4.0,0.5171,0.0,0.563,,0.4096,-1.0,-999.0,-1.0,-1.0,-1.0,35.0,5.4,0.0,0.0,6.0,0.3144,28.0,257.65,29.7,1.0,-0.0474,0.214,1.0,0.123,0.1573,,0.5702,7.704,0.0,0.0,1.0,0.0
18271.68,,-1.0,3.0,11.43,20553.81,1.1249,0.1271,22.0,0.5314,,18.5,8.0,16.89,23.45,7.0,0.2135,0.0,0.236,6.0,0.4182,28699.14,,0.2801,0.3224,108.4,18.0,0.1,0.0,0.0,1.0,0.1285,5.0,978.75,24.0,2.0,-0.1214,0.3581,7.0,0.0897,0.0875,9.0,0.4366,10.0,0.0,1.0,1.0,0.0
55445.3,9429.76,1.0,2.0,4.1,38734.09,0.6986,0.3183,6.0,0.2707,0.8281,,5.0,31.73,35.0,1.0,0.773,2.0,0.7644,1.0,0.6513,243875.32,-0.1525,0.0805,0.6292,67.7,33.0,,5.6,1.0,2.0,0.6632,43.0,223.9,87.9,,0.2935,0.0933,4.0,0.0725,0.0605,2.0,0.8091,3.3588,1.0,0.0,0.0,1.0
,5018.18,0.0,1.0,0.19,52682.25,0.6225,0.2331,5.0,0.1737,0.8812,15.4,3.0,49.28,6.17,,0.8639,1.0,0.843,1.0,0.8144,-1.0,-999.0,-1.0,-1.0,-1.0,35.0,11.0,5.8,1.0,18.0,0.754,52.0,252.07,98.7,4.0,,0.0699,3.0,0.077,0.0518,,0.8535,2.5164,0.0,0.0,1.0,0.0
15543.09,646.34,0.0,1.0,1.36,18508.71,1.1908,0.1216,24.0,0.5002,0.4221,18.82,7.0,32.08,48.01,8.0,0.3128,0.0,0.2897,5.0,0.1921,,-999.0,-1.0,-1.0,-1.0,23.0,0.9,,1.0,2.0,0.2014,12.0,377.73,,2.0,-0.1902,0.374,6.0,0.1398,0.0887,10.0,0.4212,10.0,0.0,1.0,1.0,0.0
18114.6,,0.0,1.0,0.15,21976.63,1.2132,0.1024,22.0,0.4397,0.4385,29.02,7.0,,61.37,8.0,0.2527,1.0,0.3337,6.0,,-1.0,-999.0,,,-1.0,18.0,0.2,0.0,1.0,7.0,0.1374,2.0,2441.85,11.0,1.0,-0.183,0.4267,7.0,0.0798,0.0912,10.0,0.2495,10.0,0.0,0.0,0.0,0.0
59378.9,10662.57,-1.0,2.0,3.05,51119.3,0.8609,0.26,14.0,0.4465,0.6612,44.0,6.0,11.97,69.51,3.0,0.4474,0.0,0.5522,4.0,0.5503,131598.17,-0.0571,0.1747,0.3385,46.3,45.0,12.8,4.5,0.0,7.0,0.4106,26.0,486.85,61.4,,0.161,0.1774,6.0,0.0504,0.0666,6.0,0.5772,6.3864,0.0,0.0,0.0,1.0
60900.72,3220.0,1.0,1.0,0.2,43976.41,0.7221,0.2341,10.0,0.252,0.7984,50.2,5.0,15.44,22.19,2.0,0.6689,0.0,0.62,2.0,0.5762,-1.0,-999.0,-1.0,,-1.0,24.0,5.5,4.8,1.0,19.0,0.7162,43.0,254.2,77.9,1.0,0.2532,0.1081,3.0,0.137,0.0608,3.0,0.7516,3.8916,1.0,0.0,0.0,0.0
45839.78,7410.27,-1.0,2.0,3.28,44175.8,0.9637,0.2168,13.0,0.3604,0.644,31.49,5.0,23.38,22.88,3.0,0.5417,0.0,0.5717,3.0,0.4676,131512.63,0.1566,0.2209,,116.1,33.0,5.8,3.7,0.0,4.0,0.4969,27.0,405.28,40.9,3.0,0.0342,0.1647,4.0,0.1002,0.1103,5.0,,5.9292,1.0,0.0,0.0,0.0
42567.45,,0.0,,4.05,40847.73,0.9596,0.1931,20.0,0.3471,0.5716,22.98,4.0,36.02,90.0,4.0,0.3713,1.0,0.5263,4.0,0.5096,184435.85,0.082,0.1978,0.3967,22.6,29.0,3.8,1.4,0.0,,0.3972,19.0,530.49,25.5,1.0,0.0253,,,0.1155,0.0803,7.0,0.5123,6.552,0.0,1.0,0.0,0.0
44323.21,6951.89,0.0,2.0,3.4,43879.98,0.99,0.1393,17.0,0.3594,0.609,58.01,9.0,0.0,12.19,4.0,0.4477,0.0,0.5489,,,184198.94,0.104,0.2129,0.4099,14.3,27.0,6.2,0.8,0.0,,0.317,24.0,,,1.0,-0.008,0.1625,7.0,0.0615,0.0914,7.0,0.6017,5.85,0.0,0.0,1.0,1.0
19397.99,1179.52,0.0,1.0,1.29,24119.46,1.2434,0.1937,25.0,0.5001,0.4034,19.28,6.0,30.42,,7.0,0.1976,1.0,0.3771,5.0,0.2245,-1.0,-999.0,-1.0,-1.0,-1.0,65.0,7.5,,1.0,0.0,0.2024,,730.89,21.4,1.0,-0.2041,0.356,6.0,0.0784,0.1183,10.0,0.407,10.0,0.0,0.0,0.0,0.0
44928.26,1997.67,-1.0,1.0,4.0,32990.82,0.7343,0.2666,12.0,0.3117,0.6739,34.54,7.0,0.0,5.0,,0.6836,2.0,0.6908,2.0,0.5645,-1.0,-999.0,-1.0,-1.0,-1.0,18.0,1.7,3.6,0.0,1.0,0.6134,38.0,,59.0,2.0,0.2647,0.118,,0.1545,0.0613,4.0,0.6974,4.248,1.0,0.0,,0.0
,4634.55,1.0,1.0,0.21,39768.79,0.978,0.212,,0.3644,0.4966,40.98,7.0,6.09,10.0,5.0,,1.0,0.4196,4.0,0.4681,-1.0,-999.0,-1.0,-1.0,-1.0,35.0,6.7,1.0,1.0,10.0,0.3167,20.0,490.97,36.8,1.0,0.0565,0.2156,7.0,0.0676,0.0707,8.0,0.4857,7.7616,1.0,0.0,1.0,0.0
80929.72,28985.79,1.0,2.0,14.21,45628.18,0.5638,0.4036,3.0,0.2823,0.9405,1.13,1.0,84.54,,1.0,0.9602,3.0,,0.0,0.9245,-1.0,-999.0,-1.0,-1.0,,18.0,0.4,11.3,0.0,11.0,0.8313,53.0,214.22,131.3,1.0,0.4372,0.0091,0.0,0.0834,0.1165,1.0,0.8906,0.3276,0.0,0.0,0.0,0.0
52451.62,3777.36,0.0,1.0,1.9,52509.32,1.0011,0.2434,17.0,0.3452,0.5999,24.1,7.0,16.25,14.67,5.0,0.44,0.0,0.5146,4.0,,-1.0,-999.0,-1.0,-1.0,,25.0,2.6,1.6,1.0,8.0,0.5146,23.0,564.62,14.6,3.0,-0.0086,0.2199,6.0,0.0929,,7.0,0.5688,7.9164,0.0,0.0,0.0,0.0
28757.92,1745.24,0.0,1.0,0.67,27009.44,0.9392,0.216,16.0,,0.5273,20.6,7.0,11.91,77.57,4.0,0.4782,0.0,0.543,4.0,0.4228,-1.0,-999.0,-1.0,-1.0,-1.0,33.0,6.0,,1.0,8.0,0.3601,23.0,290.42,31.1,1.0,0.0754,0.2195,7.0,0.1206,0.1085,8.0,0.5105,7.902,1.0,1.0,0.0,0.0
69179.3,3916.73,,2.0,0.48,52223.45,0.7549,0.234,13.0,0.2714,0.6137,,1.0,65.05,,3.0,0.6486,0.0,0.6262,3.0,0.6715,-1.0,-999.0,-1.0,-1.0,,25.0,,2.0,1.0,15.0,0.5534,31.0,417.79,60.5,1.0,0.2585,0.1458,2.0,0.0856,0.0868,,0.6857,5.2488,1.0,0.0,1.0,0.0
94582.17,,0.0,2.0,6.63,37681.54,0.3984,,,0.1998,,15.04,4.0,58.78,14.42,0.0,0.8725,4.0,0.937,0.0,0.9368,358378.28,-0.0688,0.0362,0.8051,61.8,18.0,0.6,11.1,1.0,14.0,,61.0,153.8,174.9,,,0.0149,3.0,,0.0474,0.0,0.9935,0.5364,1.0,0.0,1.0,0.0
84024.16,30330.92,1.0,1.0,7.72,64076.82,0.7626,0.3679,8.0,0.3032,0.8083,24.11,5.0,28.95,5.0,2.0,0.7276,3.0,,1.0,0.6639,-1.0,-999.0,-1.0,-1.0,-1.0,44.0,12.3,3.5,0.0,10.0,0.761,41.0,388.34,,1.0,0.24,0.1077,4.0,0.0946,0.1208,3.0,0.7006,3.8772,0.0,0.0,1.0,0.0
27554.6,,0.0,3.0,4.86,31031.99,1.1262,0.2087,21.0,0.4434,0.3472,15.76,3.0,59.32,,7.0,0.1959,2.0,0.3228,6.0,0.2762,,,0.2898,0.1074,23.1,38.0,3.4,0.2,,7.0,0.2675,6.0,1241.28,45.6,1.0,-0.14,0.3322,4.0,0.0859,0.118,10.0,0.4415,10.0,0.0,0.0,0.0,0.0
49114.21,9279.14,-1.0,2.0,3.07,59271.03,1.2068,0.244,21.0,0.3727,0.4691,,6.0,14.92,29.21,5.0,0.4588,1.0,0.4418,4.0,,95121.76,-0.0493,0.289,0.2379,67.7,,1.8,0.0,1.0,16.0,0.44,6.0,2370.84,23.6,2.0,-0.1709,,5.0,0.0776,0.0716,7.0,0.4832,9.324,0.0,0.0,0.0,0.0
70735.93,19499.99,0.0,1.0,6.24,57232.44,0.8091,0.3121,14.0,0.2662,0.7125,28.1,3.0,39.07,44.29,2.0,0.6981,0.0,0.5788,,0.5863,-1.0,-999.0,-1.0,-1.0,-1.0,30.0,,5.6,1.0,18.0,0.6387,35.0,405.9,34.2,1.0,0.1556,0.1718,2.0,0.0626,0.103,4.0,0.6396,6.1848,1.0,0.0,1.0,0.0
117753.5,41251.44,0.0,1.0,3.13,59677.47,0.5068,0.4132,5.0,,0.8892,11.64,4.0,47.91,21.89,1.0,0.8862,0.0,0.9167,1.0,0.8193,-1.0,-999.0,-1.0,-1.0,-1.0,20.0,1.2,7.1,1.0,25.0,0.8856,52.0,285.54,91.9,2.0,0.5004,0.045,4.0,0.119,0.1172,1.0,0.8678,1.62,0.0,0.0,0.0,0.0
85460.19,4104.29,1.0,1.0,0.13,40294.48,0.4715,0.4155,2.0,0.169,0.9211,9.01,2.0,67.49,22.89,0.0,0.8857,,0.9466,0.0,0.9194,-1.0,-999.0,-1.0,,-1.0,45.0,,15.2,1.0,6.0,0.8907,60.0,167.2,169.9,3.0,0.5236,0.0694,,0.1541,,0.0,0.9185,,1.0,0.0,1.0,0.0
63643.98,16544.83,-1.0,1.0,6.13,58399.72,0.9176,0.2917,14.0,0.3391,0.6801,36.42,10.0,,10.0,3.0,0.4252,0.0,0.5276,3.0,0.5327,-1.0,-999.0,-1.0,-1.0,-1.0,46.0,10.5,4.7,0.0,,0.5888,30.0,482.64,49.2,2.0,0.1117,0.1535,9.0,,0.1118,5.0,0.7397,5.526,0.0,1.0,0.0,1.0
59753.8,9343.4,1.0,3.0,,45633.98,0.7637,0.2738,14.0,0.3334,0.7257,93.24,8.0,0.0,15.76,2.0,0.7066,5.0,0.5931,2.0,0.5997,124313.07,-0.0816,0.1267,0.604,21.9,23.0,,5.2,1.0,11.0,0.5177,36.0,314.72,33.2,1.0,0.232,0.1619,7.0,0.0777,0.0587,4.0,0.6215,5.8284,0.0,0.0,1.0,0.0
42907.89,2313.28,0.0,1.0,0.82,32296.77,0.7527,0.199,13.0,0.3168,0.7216,75.69,4.0,0.0,55.95,2.0,0.6579,2.0,0.7276,2.0,0.6835,-1.0,-999.0,-1.0,-1.0,-1.0,,6.0,5.1,1.0,7.0,0.5397,,205.71,17.1,1.0,0.2484,0.1647,,0.0954,0.0665,4.0,0.7121,5.9292,0.0,1.0,1.0,0.0
32611.8,5116.58,1.0,,,35390.33,1.0852,0.1914,22.0,0.3917,0.4978,31.51,12.0,,43.26,6.0,0.3294,0.0,0.3682,,0.3278,136990.34,0.2008,0.2518,,74.5,21.0,0.7,1.6,,,0.2775,8.0,1072.43,20.6,1.0,-0.0861,0.2511,,0.0893,0.0737,8.0,0.3979,9.0396,0.0,0.0,0.0,0.0
,16494.72,1.0,,14.78,56445.81,0.9025,0.2773,14.0,0.4145,0.6294,24.63,7.0,11.81,45.61,3.0,0.4987,0.0,0.5679,3.0,0.5369,-1.0,-999.0,-1.0,-1.0,-1.0,18.0,0.2,2.8,0.0,13.0,0.56,27.0,517.85,56.0,2.0,0.0921,0.1508,5.0,0.0686,0.0768,6.0,0.5922,5.4288,0.0,1.0,0.0,0.0
84319.58,19671.98,1.0,1.0,14.63,47826.07,0.5672,0.2874,7.0,0.2096,0.7579,2.51,2.0,63.08,32.13,1.0,,,0.8387,1.0,0.8953,-1.0,-999.0,-1.0,,-1.0,52.0,22.0,9.3,0.0,16.0,0.7354,,242.77,89.5,1.0,0.4684,0.0912,1.0,0.1188,0.0561,2.0,0.8404,3.2832,0.0,0.0,1.0,0.0
37092.47,2138.65,,1.0,0.13,40612.55,1.0949,0.1612,18.0,0.3826,0.5527,48.08,7.0,14.17,30.0,,0.4322,1.0,0.4057,5.0,0.3682,-1.0,-999.0,-1.0,-1.0,,40.0,5.4,0.0,1.0,7.0,0.3489,25.0,402.1,23.0,1.0,-0.1143,0.2336,6.0,0.0597,0.0746,,0.4468,8.4096,0.0,1.0,0.0,0.0
31148.65,5197.36,-1.0,3.0,2.23,34845.99,1.1187,0.1777,22.0,0.4989,,19.47,9.0,17.4,35.77,7.0,0.2741,2.0,0.3752,5.0,0.303,109239.57,-0.1091,0.2962,0.1612,68.5,46.0,5.3,0.0,0.0,,0.2567,10.0,849.9,38.6,1.0,-0.1418,0.3645,8.0,0.0767,0.0838,9.0,0.472,10.0,,1.0,1.0,0.0
25556.31,4009.03,-1.0,4.0,8.04,31730.71,1.2416,0.1737,22.0,0.449,0.3347,26.96,7.0,31.75,27.24,8.0,0.3191,2.0,0.4114,6.0,0.1717,57709.38,-0.1837,0.279,0.2687,48.6,44.0,4.4,0.0,0.0,12.0,0.2838,4.0,1866.51,22.4,1.0,-0.2302,0.4875,6.0,0.0435,,10.0,0.3621,10.0,0.0,,0.0,0.0
42070.03,3609.72,-1.0,2.0,1.45,45549.22,1.0827,0.1829,20.0,0.3959,0.5232,68.74,7.0,11.01,35.47,6.0,0.3373,,0.45,5.0,0.3689,-1.0,-999.0,-1.0,-1.0,-1.0,18.0,0.7,2.3,0.0,,0.4603,10.0,1110.96,30.5,1.0,-0.0819,0.2635,,0.0954,0.0954,,0.3917,9.486,0.0,0.0,0.0,0.0
90908.44,3725.34,,2.0,0.25,60263.2,0.6629,0.32,8.0,0.2432,0.7039,,5.0,38.7,8.41,1.0,,0.0,0.8255,,0.713,-1.0,-999.0,,-1.0,-1.0,29.0,5.5,6.0,1.0,17.0,0.7042,,299.82,78.6,1.0,0.3263,0.1006,3.0,0.0603,0.0553,3.0,0.6721,3.6216,1.0,1.0,1.0,0.0
79921.79,3700.64,1.0,2.0,3.4,,0.6576,0.3772,,0.1796,1.0,8.34,4.0,64.85,8.56,0.0,0.8285,3.0,0.9547,0.0,0.9694,-1.0,-999.0,-1.0,-1.0,-1.0,33.0,9.7,,1.0,,0.8384,53.0,246.74,121.2,1.0,0.3354,0.071,3.0,0.0577,0.06,1.0,0.8425,,0.0,0.0,1.0,0.0
